ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
fig2_3_1,Figure 2.3.1,Ethno-linguistic groups of western Amazonia at the time of contact.,,,,,eriksen2011nature,,map,
fig2_4_1,Figure 2.4.1,Ethnohistoric interaction networks in western Amazonia.,,,,,eriksen2011nature,,map,
fig3_3_1,Figure 3.3.1,Ethno-linguistic groups of southern Amazonia at the time of contact.,,,,,eriksen2011nature,,map,
fig3_4_1,Figure 3.4.1,"Ethno-linguistic groups, trade routes and archeological sites mentioned in the text.",,,,,eriksen2011nature,,map,
fig5_3_1,Figure 5.3.1,Ethno-linguistic groups of the Orinoco-Guiana area at the time of contact.,,,,,eriksen2011nature,,map,
fig5_4_2,Figure 5.4.2,Ethno-linguistic interaction in the western Orinoco-Guiana area during the late prehistoric and early colonial periods.,,,,,eriksen2011nature,,map,
fig5_4_3,Figure 5.4.3,"Ethno-linguistic groups, trade routes and trade centers of the late prehistoric and early colonial periods in the eastern Guianas.",,,,,eriksen2011nature,,map,
fig6_3_1,Figure 6.3.1,The distribution of ethno-linguistic groups in the northwest Amazon at the time of contact.,,,,,eriksen2011nature,,map,
fig6_4_1,Figure 6.4.1,Trade routes of the northern part of the northwest Amazon and adjacent areas.,,,,,eriksen2011nature,,map,
1,Achagua,,,,acha1250,traditional,eriksen2011nature,features,feature,fig5_3_1 fig5_4_2 fig6_3_1 fig6_4_1
2,Achagua,,,,acha1250,traditional,eriksen2011nature,features,feature,fig5_3_1 fig6_3_1 fig6_4_1
3,Agavo-taguerra,,,,agav1236,traditional,eriksen2011nature,features,feature,fig3_3_1 fig3_4_1
4,Aguano,,,,agua1251,traditional,eriksen2011nature,features,feature,fig2_3_1 fig2_4_1
5,Aikana,,,,aika1237,traditional,eriksen2011nature,features,feature,fig2_3_1 fig3_3_1 fig3_4_1
6,Amahuaca,,,,amah1246,traditional,eriksen2011nature,features,feature,fig2_3_1 fig2_4_1 fig3_4_1
7,Amarizana,,,,piap1246,traditional,eriksen2011nature,features,feature,fig5_3_1 fig6_3_1 fig6_4_1
8,Andoque,,,,ando1256,traditional,eriksen2011nature,features,feature,fig2_3_1 fig2_4_1 fig6_3_1
9,Apolista,,,,apol1242,traditional,eriksen2011nature,features,feature,fig3_3_1 fig3_4_1
10,Apuriña,,,,apur1254,traditional,eriksen2011nature,features,feature,fig2_3_1 fig2_4_1 fig3_3_1 fig3_4_1
11,Arauan,,,,araw1282,traditional,eriksen2011nature,features,feature,fig2_3_1 fig3_3_1
12,Arauan,,,,araw1282,traditional,eriksen2011nature,features,feature,fig2_3_1 fig3_3_1 fig3_4_1
13,Arauan,,,,araw1282,traditional,eriksen2011nature,features,feature,fig2_3_1 fig3_3_1 fig6_3_1
14,Arawak,,,,araw1281,traditional,eriksen2011nature,features,feature,fig2_3_1 fig2_4_1 fig6_3_1
15,Arawak,,,,araw1281,traditional,eriksen2011nature,features,feature,fig2_3_1 fig3_3_1 fig3_4_1
16,Arawak,,,,araw1281,traditional,eriksen2011nature,features,feature,fig2_3_1 fig3_3_1 fig5_3_1 fig5_4_2 fig5_4_3 fig6_3_1 fig6_4_1
