ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Feature_IDs,Glottolog_Languoid_Level,Family,Speaker_Area
acha1250,Achagua,,4.38649,-72.2005,acha1250,,1 2 173,language,Arawakan,languages
agav1236,Agavotaguerra,,-13.29849,-53.43936,agav1236,,3,language,Unattested,languages
agua1251,Aguano,,-5.25,-75.8333,agua1251,,4,language,Unattested,languages
aika1237,Aikanã,,-12.6695,-60.5353,aika1237,,5,language,,languages
amah1246,Amahuaca,,-10.2012,-72.3208,amah1246,,6,language,Pano-Tacanan,languages
ando1256,Andoque,,-0.53751,-72.0869,ando1256,,8,language,,languages
apol1242,Apolista,,-14.83,-68.66,apol1242,,9,language,Arawakan,languages
apur1254,Apurinã,,-8.21692,-66.7714,apur1254,,10,language,Arawakan,languages
arai1239,Araicu,,-3.104315,-67.2052,arai1239,,220,language,Arawakan,languages
araw1276,Lokono,,5.64295,-56.9243,araw1276,,124,language,Arawakan,languages
arua1264,Aruan,,-0.608631,-50.123291,arua1264,,28 29 30,language,Arawakan,languages
arub1238,Caquetio,,11.28679,-69.65051,arub1238,,46 47 187,language,Arawakan,languages
arut1244,Arutani,,4.0673594,-62.8676118,arut1244,,27,language,,languages
awet1244,Awetí,,-12.381944,-53.391944,awet1244,,33,language,Tupian,languages
baka1277,Bakairí,,-14.2628,-54.7034,baka1277,,36,language,Cariban,languages
baur1253,Baure,,-13.61,-63.68,baur1253,,162,language,Arawakan,languages
beto1236,Betoi-Jirara,,7.223906,-71.420238,beto1236,,41,language,,languages
call1235,Callawalla,,-15.88451,-68.10176,call1235,,109,language,Speech Register,languages
cana1260,Canari,,-2.47517,-78.979054,cana1260,,62,language,Barbacoan,languages
cand1248,Candoshi-Shapra,,-4.23835,-76.9347,cand1248,,43 44,language,,languages
cari1279,Carijona,,1.21894,-72.0664,cari1279,,60,language,Cariban,languages
cayu1262,Cayubaba,,-13.2482,-65.4822,cayu1262,,61,language,,languages
cham1318,Chamicuro,,-5.1149,-75.6778,cham1318,,63,language,Arawakan,languages
chib1270,Chibcha,,6.24999,-74.1666,chib1270,,67 68 69 70 149,language,Chibchan,languages
chiq1248,Lomeriano-Ignaciano Chiquitano,,-16.769554,-61.817795,chiq1248,,72,language,Chiquitano,languages
coca1259,Cocama-Cocamilla,,-4.5,-74.0,coca1259,,74 75 76,language,Tupian,languages
cofa1242,Cofán,,0.276675,-77.0643,cofa1242,,77,language,,languages
east2555,Eastern Bolivian Guaraní,,-20.42,-63.37,east2555,,73,language,Tupian,languages
gali1262,Galibi Carib,,5.83772,-56.8323,gali1262,,48 49 50 51 52 53 54 55 56 57 58 59,language,Cariban,languages
game1240,Gamela of Viana,,-3.2913381,-45.1835185,game1240,,82,language,Unclassifiable,languages
guah1255,Sikuani,,5.81736,-68.9839,guah1255,,83 84,language,Guahiboan,languages
guam1236,Guamo,,8.2351027,-67.4018753,guam1236,,85,language,,languages
igna1246,Ignaciano,,-15.1188,-65.3993,igna1246,,143,language,Arawakan,languages
iran1263,Irántxe-Münkü,,-12.7178,-57.9806,iran1263,,91,language,,languages
iton1250,Itonama,,-12.80431,-64.35748,iton1250,,45,language,,languages
kama1373,Kamayurá,,-12.2661,-53.4651,kama1373,,110,language,Tupian,languages
kano1245,Kanoê,,-12.1789,-64.5812,kano1245,,111,language,,languages
kari1317,Karipúna,,-10.2006,-64.2807,kari1317,,112,language,Tupian,languages
kaya1329,Kayabí,,-11.2747,-55.5479,kaya1329,,118,language,Tupian,languages
kaya1330,Mebengokre,,-7.77352,-51.6737,kaya1330,,119,language,Nuclear-Macro-Je,languages
kuik1246,Kuikúro-Kalapálo,,-12.3035,-53.2261,kuik1246,,108 120,language,Cariban,languages
kust1238,Kustenau,,-14.9,-53.15,kust1238,,121,language,Arawakan,languages
kwaz1243,Kwaza,,-11.6667,-61.1833,kwaz1243,,122,language,,languages
leco1242,Leco,,-15.0092,-67.8818,leco1242,,123,language,,languages
macu1259,Macushi,,4.31861,-60.2209,macu1259,,130,language,Cariban,languages
